"$(R, B)$","$(R^*, B)$","$(R, B^*)$","$(R^*, B^*)$"
0.4991361497293499,0.7660495438797567,0.2359789226592433,0.5006790065753646
0.49912938846709143,0.7660291253922309,0.23596026699158246,0.5005763463589611
0.49913533698035933,0.7660484278275977,0.2360734271069132,0.5006035342159864
0.4991157884792387,0.7661507321967138,0.23616513552706014,0.5006752965020317
0.4990412238679941,0.7661798793514372,0.23613973893887863,0.5006701712983836
0.49902500258335547,0.7662486166392071,0.23605653737447851,0.5006430279504436
0.49902068406178374,0.7663599468254942,0.23593070800949684,0.5006337991437406
0.499184419367459,0.766477481191028,0.23591840661188307,0.500690689335303
0.4992353191745188,0.7664990948312627,0.23583548862412254,0.5006818610175188
0.499415132891467,0.7664666884883083,0.23579631789981215,0.5007055786860057
0.4994435799974639,0.7663941182146967,0.23578776483684785,0.5006810983080637
0.49936958458186903,0.7664436350777405,0.2357987213303007,0.5007494987543545
0.4993645380154224,0.7664596816347236,0.2358136237750577,0.5006959010122268
0.499340754089089,0.7663810709571213,0.23590613241896885,0.5006381315788228
0.4994132812375594,0.7664058060707448,0.23583594605386018,0.5006590325958404
0.4995049034034644,0.7663469660059002,0.23571561198364488,0.5006758037651384
0.4995016507090499,0.7662736523235913,0.23571515947562696,0.5006942382461755
0.4995855353922965,0.7663533778341085,0.2356827205253614,0.5006388034376368
0.499660512409395,0.7663691998015297,0.23562867495031142,0.5006539053772395
0.49961146836656545,0.7664205964193859,0.2356894897339572,0.50071208371919
0.4995619059386871,0.7663819365866511,0.2355678554785867,0.5008378118427887
0.49955173007743253,0.7663243842151857,0.23546033884703718,0.5009640156320386
0.4995722767671831,0.7663798328299667,0.23547951878599932,0.5010453703681743
0.49948016003270124,0.7663657375629559,0.23549839382838236,0.5009942721465978
0.49954480858368266,0.7663460421756477,0.23549996435138204,0.5009321217244681
0.49975116221104665,0.7663739059147021,0.23545490250148576,0.5009372219283278
0.49967719445547987,0.7664346805302407,0.23549692020098492,0.5008845286313344
0.49963934750005456,0.7665604020326813,0.23542821937482777,0.50080819875645
0.4996019522504337,0.7666926415808869,0.23543925764409812,0.5008614796009878
0.49968942067760597,0.7665869802057766,0.235350589996677,0.5008686829898461
0.49965572512724876,0.7665218604460623,0.2353120441377542,0.5009090701263352
0.4997136329200906,0.7664544403468553,0.2352382486918309,0.5008684991548297
0.4996464936535716,0.7664490950865457,0.2351955690007564,0.5009172019940457
0.49958402894005216,0.7665108181139194,0.2350925575183203,0.5009246998362222
0.4997331746969276,0.7665085043352152,0.23505362612087755,0.5009725752260492
0.4997589056152395,0.7665382590825067,0.23497200172978983,0.5010046842281892
0.4998188537607401,0.7665426459030907,0.23491736049962478,0.5009593419216071
0.4997656833169335,0.7664854678300973,0.23493844816061704,0.5009735560569208
0.4999133233684414,0.7664583139150466,0.2350399239174869,0.5009529144378645
0.49997315030843736,0.7664761877597825,0.23504266051713812,0.5009009244750712
0.4999371206518893,0.7664737465868272,0.23507910360574763,0.5009294684939016
0.4998996228233041,0.7665545935605028,0.23508675252296235,0.5009287518414685
0.5000096925957078,0.7664689429642202,0.23500814224742844,0.5009381946395369
0.499899427095954,0.7663869771875089,0.23506424551057817,0.500858898904976
0.4999821506289579,0.7663224260710244,0.23512012140494304,0.5008725188718627
0.500075272543467,0.7663016574565931,0.2351287226923317,0.500839825038984
0.49998972007788983,0.7662719644274426,0.23509468974356484,0.5007943592731577
0.49995644707179016,0.7663283407988956,0.23511730842521703,0.5008246027914823
0.49995828594057684,0.7663822668169296,0.2351542037173937,0.5008118429913404
0.49983298010137,0.7663614402970765,0.2351490965536787,0.500748335476771
0.4998318908094194,0.7664192682148501,0.23516775164120035,0.5008101857286962
0.4998845946232184,0.7663296382786047,0.23514590920076472,0.5008152762065499
0.49985871142733346,0.7663384347728849,0.23507462219317665,0.5008380199030316
0.4999477324651654,0.7663730642044566,0.2350637903318752,0.5008703682116211
0.49997494937863923,0.766382319949229,0.23497300199673288,0.5008758904788773
0.5000520438954492,0.7663225911497549,0.23494725021675014,0.500848474824202
0.500047860913468,0.76642906003405,0.23499163668468465,0.5008862530780647
0.5001433293839814,0.7664250307383473,0.23506078227784297,0.5009069052845384
0.5002130467806032,0.766498897492077,0.23501297044334707,0.5009332571090256
0.5002172607900993,0.7665103673567087,0.23501100406632325,0.500906950612677
0.5000560079079699,0.7664455551046689,0.23500003686328358,0.5009652749636193
0.5000364370852508,0.7665265619488806,0.23499913901821182,0.5009474566275693
0.5000912112308421,0.766474427357476,0.2350325482928637,0.5010006171914002
0.5000518449674772,0.7664493979012896,0.23510270015293996,0.501034777483317
